Requirement_ID,Jurisdiction,Scheme,Source_Authority,Source_Document,Source_URL,Module_Type,Module_Name,Standard_Name,Outcome_Code,Outcome_Text,Quality_Indicator_Code,Quality_Indicator_Text,Applies_To_All_Providers,Registration_Group_Numbers,Registration_Group_Names,Registration_Group_Source_URL,Audit_Type,High_Risk_Flag,Stage_1_Applies,Stage_2_Applies,Audit_Test_Methods,Sampling_Required,Sampling_Subject,System_Evidence_Required,Implementation_Evidence_Required,Workforce_Evidence_Required,Participant_Evidence_Required,Requires_Workforce_Evidence,Requires_Participant_Evidence,Minimum_Evidence_Score_2,Best_Practice_Evidence_Score_3,Common_Nonconformity_Patterns,Gap_Rule_1,Gap_Rule_2,Gap_Rule_3,NC_Severity_Default,Evidence_Owner_Role,Review_Frequency,System_of_Record,Audit_Export_Label,Version,Last_Reviewed_Date,Change_Trigger,Notes,Evidence_Status_System,Evidence_Status_Implementation,Evidence_Status_Workforce,Evidence_Status_Participant,Best_Practice_Evidence_Present,Computed_Score,Computed_Flag
CORE-PROV-SP-QI-06,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports,Support Planning,CORE-PROV-SP-O1,"Each participant is actively involved in the development of their support plans. Support plans reflect participant needs, requirements, preferences, strengths and goals, and are regularly reviewed.",CORE-PROV-SP-QI-06,"Where progress is different from expected outcomes and goals, work is done with the participant to change and update the support plan.",Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,"Relevant policy/procedure/framework (current, approved)",Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Team Leader,Annual,,Core – Provision of Supports – Support Planning,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-PROV-SP-QI-07,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports,Support Planning,CORE-PROV-SP-O1,"Each participant is actively involved in the development of their support plans. Support plans reflect participant needs, requirements, preferences, strengths and goals, and are regularly reviewed.",CORE-PROV-SP-QI-07,"Each participant’s support plan is: – provided to them in the language, mode of communication and terms they are most likely to understand; and – readily accessible by them and by workers providing supports to them.",Y,,,,Certification,N,Y,Y,Document review; Worker interview; Participant interview (where applicable),Y,Workers; Participants,"Relevant policy/procedure/framework (current, approved)",Service delivery records demonstrating implementation (samples),Training/competency/supervision evidence for relevant roles,Participant file evidence (plans/consents/communications) showing the requirement is met,Y,Y,"All required evidence buckets present and current (system + implementation, workforce, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required training/competency missing THEN flag,Minor,Service Delivery Lead / Team Leader,Annual,,Core – Provision of Supports – Support Planning,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-PROV-SP-QI-08,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports,Support Planning,CORE-PROV-SP-O1,"Each participant is actively involved in the development of their support plans. Support plans reflect participant needs, requirements, preferences, strengths and goals, and are regularly reviewed.",CORE-PROV-SP-QI-08,"Each participant’s support plan is communicated, where appropriate and with their consent, to their support network, other providers and relevant government agencies.",Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,"Relevant policy/procedure/framework (current, approved)",Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Team Leader,Annual,,Core – Provision of Supports – Support Planning,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-PROV-SP-QI-09,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports,Support Planning,CORE-PROV-SP-O1,"Each participant is actively involved in the development of their support plans. Support plans reflect participant needs, requirements, preferences, strengths and goals, and are regularly reviewed.",CORE-PROV-SP-QI-09,"Each participant’s support plan includes arrangements, where required, for proactive support for preventative health measures, including support to access recommended vaccinations, dental check-ups, comprehensive health assessments and allied health services.",Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,"Relevant policy/procedure/framework (current, approved)",Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Team Leader,Annual,,Core – Provision of Supports – Support Planning,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-PROV-SP-QI-10,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports,Support Planning,CORE-PROV-SP-O1,"Each participant is actively involved in the development of their support plans. Support plans reflect participant needs, requirements, preferences, strengths and goals, and are regularly reviewed.",CORE-PROV-SP-QI-10,"Each participant’s support plan: – anticipates and incorporates responses to individual, provider and community emergencies and disasters to ensure their safety, health and wellbeing; and – is understood by each worker supporting them.",Y,,,,Certification,N,Y,Y,Document review; Worker interview; Participant interview (where applicable),Y,Workers; Participants,"Relevant policy/procedure/framework (current, approved)",Service delivery records demonstrating implementation (samples),Training/competency/supervision evidence for relevant roles,Participant file evidence (plans/consents/communications) showing the requirement is met,Y,Y,"All required evidence buckets present and current (system + implementation, workforce, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required training/competency missing THEN flag,Minor,Service Delivery Lead / Team Leader,Annual,,Core – Provision of Supports – Support Planning,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-PROV-SA-QI-01,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports,Service Agreements with Participants,CORE-PROV-SA-O1,Each participant has a clear understanding of the supports they have chosen and how they will be provided.,CORE-PROV-SA-QI-01,"Collaboration occurs with each participant to develop a service agreement which establishes expectations, explains the supports to be delivered, and specifies any conditions attached to the delivery of supports, including why these conditions are attached.",Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,Relevant documented process or guidance (current),Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Team Leader,Annual,,Core – Provision of Supports – Service Agreements with Participants,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-PROV-SA-QI-02,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports,Service Agreements with Participants,CORE-PROV-SA-O1,Each participant has a clear understanding of the supports they have chosen and how they will be provided.,CORE-PROV-SA-QI-02,"Each participant is supported to understand their service agreement and conditions using the language, mode of communication and terms that the participant is most likely to understand.",Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,Relevant documented process or guidance (current),Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Team Leader,Annual,,Core – Provision of Supports – Service Agreements with Participants,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-PROV-SA-QI-03,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports,Service Agreements with Participants,CORE-PROV-SA-O1,Each participant has a clear understanding of the supports they have chosen and how they will be provided.,CORE-PROV-SA-QI-03,"Where the service agreement is created in writing, each participant receives a copy of their agreement signed by the participant and the provider. Where this is not practicable, or the participant chooses not to have an agreement, a record is made of the circumstances under which the participant did not receive a copy of their agreement.",Y,,,,Certification,N,Y,Y,Document review; Records sampling; Participant interview (where applicable),Y,Files/records; Participants,Relevant documented process or guidance (current),Records/registers showing application in practice (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Team Leader,Annual,,Core – Provision of Supports – Service Agreements with Participants,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-PROV-SA-QI-04,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports,Service Agreements with Participants,CORE-PROV-SA-O1,Each participant has a clear understanding of the supports they have chosen and how they will be provided.,CORE-PROV-SA-QI-04,"Where the provider delivers supported independent living supports to participants in specialist disability accommodation dwellings, documented arrangements are in place with each participant and each specialist disability accommodation provider. At a minimum, the arrangements should outline the party or parties responsible and their roles (where applicable) for the following matters: a) How a participant’s concerns about the dwelling will be communicated and addressed; b) How potential conflicts involving participant(s) will be managed; c) How changes to participant circumstances and/or support needs will be agreed and communicated; d) In shared living, how vacancies will be filled, including each participant’s right to have their needs, preferences and situation taken into account; and e) How behaviours of concern which may put tenancies at risk will be managed, if this is a relevant issue for the participant.",Y,,,,Certification,N,Y,Y,Document review; Records sampling; Participant interview (where applicable),Y,Files/records; Participants,Relevant documented process or guidance (current),Records/registers showing application in practice (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Team Leader,Annual,,Core – Provision of Supports – Service Agreements with Participants,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-PROV-SA-QI-05,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports,Service Agreements with Participants,CORE-PROV-SA-O1,Each participant has a clear understanding of the supports they have chosen and how they will be provided.,CORE-PROV-SA-QI-05,Service agreements set out the arrangements for providing supports to be put in place in the event of an emergency or disaster.,Y,,,,Certification,N,Y,Y,Document review,N,,Relevant documented process or guidance (current),Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),N/A or indirect (no participant-specific evidence typically required),N,N,All required evidence buckets present and current (system + implementation).,"Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Team Leader,Annual,,Core – Provision of Supports – Service Agreements with Participants,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-PROV-RSP-QI-01,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports,Responsive Support Provision,CORE-PROV-RSP-O1,"Each participant accesses responsive, timely, competent and appropriate supports to meet their needs, desired outcomes and goals.",CORE-PROV-RSP-QI-01,"Supports are provided based on the least intrusive options, in accordance with contemporary evidence-informed practices that meet participant needs and help achieve desired outcomes.",Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,Relevant documented process or guidance (current),Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Team Leader,Annual,,Core – Provision of Supports – Responsive Support Provision,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-PROV-RSP-QI-02,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports,Responsive Support Provision,CORE-PROV-RSP-O1,"Each participant accesses responsive, timely, competent and appropriate supports to meet their needs, desired outcomes and goals.",CORE-PROV-RSP-QI-02,"For each participant (with their consent or direction and as agreed in their service agreement) links are developed and maintained by the provider through collaboration with other providers, including health care and allied health providers, to share their information, manage risks to them and meet their needs.",Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,Relevant documented process or guidance (current),Records/registers showing application in practice (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Team Leader,Annual,,Core – Provision of Supports – Responsive Support Provision,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-PROV-RSP-QI-03,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports,Responsive Support Provision,CORE-PROV-RSP-O1,"Each participant accesses responsive, timely, competent and appropriate supports to meet their needs, desired outcomes and goals.",CORE-PROV-RSP-QI-03,"Reasonable efforts are made to involve the participant in selecting their workers, including the preferred gender of workers providing personal care supports.",Y,,,,Certification,N,Y,Y,Document review; Worker interview; Participant interview (where applicable),Y,Workers; Participants,Relevant documented process or guidance (current),Service delivery records demonstrating implementation (samples),Training/competency/supervision evidence for relevant roles,Participant file evidence (plans/consents/communications) showing the requirement is met,Y,Y,"All required evidence buckets present and current (system + implementation, workforce, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required training/competency missing THEN flag,Minor,Service Delivery Lead / Team Leader,Annual,,Core – Provision of Supports – Responsive Support Provision,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-PROV-RSP-QI-04,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports,Responsive Support Provision,CORE-PROV-RSP-O1,"Each participant accesses responsive, timely, competent and appropriate supports to meet their needs, desired outcomes and goals.",CORE-PROV-RSP-QI-04,"Where a participant has specific needs which require monitoring and/or daily support, workers are appropriately trained and understand the participant’s needs and preferences.",Y,,,,Certification,N,Y,Y,Document review; Worker interview; Participant interview (where applicable),Y,Workers; Participants,Relevant documented process or guidance (current),Service delivery records demonstrating implementation (samples),Training/competency/supervision evidence for relevant roles,Participant file evidence (plans/consents/communications) showing the requirement is met,Y,Y,"All required evidence buckets present and current (system + implementation, workforce, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required training/competency missing THEN flag,Minor,Service Delivery Lead / Team Leader,Annual,,Core – Provision of Supports – Responsive Support Provision,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-PROV-TTP-QI-01,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports,Transitions to or from a provider,CORE-PROV-TTP-O1,Each participant experiences a planned and coordinated transition to or from the provider.,CORE-PROV-TTP-QI-01,"A planned transition to or from the provider is facilitated in collaboration with each participant when possible, and this is documented, communicated and effectively managed.",Y,,,,Certification,N,Y,Y,Document review; Records sampling; Participant interview (where applicable),Y,Files/records; Participants,"Relevant policy/procedure/framework (current, approved)",Records/registers showing application in practice (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Team Leader,Annual,,Core – Provision of Supports – Transitions to or from a provider,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-PROV-TTP-QI-02,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports,Transitions to or from a provider,CORE-PROV-TTP-O1,Each participant experiences a planned and coordinated transition to or from the provider.,CORE-PROV-TTP-QI-02,"Risks associated with each transition to or from the provider are identified, documented and responded to, including risks associated with temporary transitions from the provider to respond to a risk to the participant, such as a health care risk requiring hospitalisation.",Y,,,,Certification,N,Y,Y,Document review; Records sampling; Participant interview (where applicable),Y,Files/records; Participants,Relevant documented process or guidance (current),Records/registers showing application in practice (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Team Leader,Annual,,Core – Provision of Supports – Transitions to or from a provider,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-PROV-TTP-QI-03,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports,Transitions to or from a provider,CORE-PROV-TTP-O1,Each participant experiences a planned and coordinated transition to or from the provider.,CORE-PROV-TTP-QI-03,"Processes for transitioning to or from the provider (including temporary transitions referred to in subsection (2)) are developed, applied, reviewed and communicated.",Y,,,,Certification,N,Y,Y,Document review,N,,"Relevant policy/procedure/framework (current, approved)",Records/registers showing application in practice (samples),Role clarity / accountability evidence (where relevant),N/A or indirect (no participant-specific evidence typically required),N,N,All required evidence buckets present and current (system + implementation).,"Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Team Leader,Annual,,Core – Provision of Supports – Transitions to or from a provider,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-ENV-SE-QI-01,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports Environment,Safe environment,CORE-ENV-SE-O1,Each participant accesses supports in a safe environment that is appropriate to their needs.,CORE-ENV-SE-QI-01,Each participant can easily identify workers who provide supports to them.,Y,,,,Certification,N,Y,Y,Document review; Worker interview; Participant interview (where applicable),Y,Workers; Participants,Relevant documented process or guidance (current),Service delivery records demonstrating implementation (samples),Training/competency/supervision evidence for relevant roles,Participant file evidence (plans/consents/communications) showing the requirement is met,Y,Y,"All required evidence buckets present and current (system + implementation, workforce, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required training/competency missing THEN flag,Minor,Operations Manager / Clinical Lead,Annual,,Core – Provision of Supports Environment – Safe environment,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-ENV-SE-QI-02,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports Environment,Safe environment,CORE-ENV-SE-O1,Each participant accesses supports in a safe environment that is appropriate to their needs.,CORE-ENV-SE-QI-02,"Work is undertaken with each participant, and others, in settings where supports are provided (including their home), to ensure a safe support delivery environment for them.",Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,Relevant documented process or guidance (current),Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Operations Manager / Clinical Lead,Annual,,Core – Provision of Supports Environment – Safe environment,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-ENV-SE-QI-03,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Provision of Supports Environment,Safe environment,CORE-ENV-SE-O1,Each participant accesses supports in a safe environment that is appropriate to their needs.,CORE-ENV-SE-QI-03,"Where relevant, work is undertaken with other providers (including health care and allied health providers and providers of other services) to identify and manage risks to participants and to correctly interpret their needs and preferences.",Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,Relevant documented process or guidance (current),Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Operations Manager / Clinical Lead,Annual,,Core – Provision of Supports Environment – Safe environment,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
